---,Price,Health,Speed,Cd,Bullet damage,Bullet speed,Bullet range,Attack range,View range,Ability count,Ability cd,Ability duration,Ability params
Trooper,"55","204","200","0.120000","7.000000","1250","450","0","0","1","5.000000","3.000000","(""2"")"
Rifleman,"65","120","180","1.000000","55.000000","2500","520","0","0","1","14.000000","3.000000","(""700"",""0"",""1.5"",""80"")"
Tank,"75","500","120","0.500000","31.000000","1500","320","0","0","1","10.000000","7.500000",""
Shotguner,"90","190","200","1.000000","34.000000","1000","300","0","0","1","5.000000","0.000000","(""200"",""250"")"
Engineer,"110","140","180","1.000000","100.000000","1500","520","0","0","1","2.000000","3.000000",""
Trooper_NPC,"10","100","180","0.110000","15.000000","1250","460","580","580","0","0.000000","0.000000",""
Rifleman_NPC,"10","80","180","1.000000","34.000000","1300","580","660","700","0","0.000000","0.000000",""
Tank_NPC,"10","400","120","0.500000","25.000000","1000","320","420","550","0","0.000000","0.000000",""
Shotguner_NPC,"50","120","200","1.300000","30.000000","1000","300","350","580","0","0.000000","0.000000",""
Machineguner_NPC,"100","100","0","0.100000","8.000000","2000","1000","1400","1400","0","0.000000","0.000000",""
Grenadier_NPC,"10","100","180","5.000000","300.000000","100","500","580","580","0","0.000000","0.000000",""
Shieldbearer_NPC,"10","60","180","0.000000","0.000000","0","0","0","300","0","0.000000","0.000000",""
Spotter_NPC,"50","100","180","5.000000","0.000000","100","500","580","580","0","0.000000","0.000000",""
Deserter_NPC,"-50","50","180","5.000000","0.000000","100","0","0","0","0","0.000000","0.000000",""
